        Numerical                 Analytical                      Error                x     y

   -2.115265e-102                          0              2.115265e-102                0     0
           0.0625                     0.0625                          0              0.5     0
                1                          1                          0                1     0
           5.0625                     5.0625                          0              1.5     0
               16                         16                          0                2     0
                1                          1                          0                0     1
        0.2617336                     1.0625                  0.8007664              0.5     1
         0.957945                          2                   1.042055                1     1
         5.261734                     6.0625                  0.8007664              1.5     1
               17                         17                          0                2     1
               16                         16                          0                0     2
         15.14864                    16.0625                  0.9138601              0.5     2
         15.78054                         17                   1.219465                1     2
         20.14864                    21.0625                  0.9138601              1.5     2
               32                         32                          0                2     2
               81                         81                          0                0     3
          80.1315                    81.0625                  0.9310029              0.5     3
         80.76026                         82                   1.239739                1     3
          85.1315                    86.0625                  0.9310029              1.5     3
               97                         97                          0                2     3
              256                        256                          0                0     4
         255.1486                   256.0625                  0.9138601              0.5     4
         255.7805                        257                   1.219465                1     4
         260.1486                   261.0625                  0.9138601              1.5     4
              272                        272                          0                2     4
              625                        625                          0                0     5
         624.2617                   625.0625                  0.8007664              0.5     5
         624.9579                        626                   1.042055                1     5
         629.2617                   630.0625                  0.8007664              1.5     5
              641                        641                          0                2     5
             1296                       1296                          0                0     6
         1296.062                   1296.062                          0              0.5     6
             1297                       1297                          0                1     6
         1301.062                   1301.062                          0              1.5     6
             1312                       1312                          0                2     6

                            ||u - u*|| / ||u*|| = 0.0011507
